TipoDePublicacao,NumeroDaPublicacao,Revisao,DataEfetividade,DocAssociado,Emissor,ATA,Assunto,Categoria,Tipo,Aplicabilidade,DescAplicabilidade,Acao,Analista,TSN,DataAnalise,TipoDeControle,CSN,DataLimite,Justificativa
AD/CF/DA/CN,2020-0136,0,44014,TLD ATR42-500,EASA (UE),05-TIME LIMITS/MAINTENANCE CHECKS,Time Limits/Maintenance Checks - Certification Maintenance Requirementes and Airworthiness Limitations - Amendment,Mandatório,Informativa,Célula,ATR 42-500 - PR-PDS (MSN: 561),Incorporar,André Torres,N/A,20/06/2020,N/A,N/A,N/A,Time Limits Document ATR42-400/-500  Revision 13 already referencied in MAP ATR42 AMP and analyzed for MSN 561.
AD/CF/DA/CN,2014-41,00,41982,SB 21861; 21841R2,DT (Canada),73 - Engine Fuel & Control,ENGINE FUEL AND CONTROL - FUEL SPRAY NOZZLE – FUEL LEAKS RESULTING IN ENGINE FIRE,Mandatório,Modificação,Motor,PW124B - PCE-AH0011,NOT APPLICABLE,Alexandre Edson,,,,,,NÃO APLICÁVEL- POIS O MOTOR AH0011 NÃO POSSUI O SB 21607 INCORPORADO.
AD/CF/DA/CN,2014-41,00,41982,SB 21861; 21841R2,DT (Canada),73 - Engine Fuel & Control,ENGINE FUEL AND CONTROL - FUEL SPRAY NOZZLE – FUEL LEAKS RESULTING IN ENGINE FIRE,Mandatório,Modificação,Motor,PW124B - PCE-AH0012,NOT APPLICABLE,Alexandre Edson,,,,,,NÃO APLICÁVEL- POIS O MOTOR AH0012 NÃO POSSUI O SB 21607 INCORPORADO.
AD/CF/DA/CN,2014-41,00,41982,SB 21861; 21841R2,DT (Canada),73 - Engine Fuel & Control,ENGINE FUEL AND CONTROL - FUEL SPRAY NOZZLE – FUEL LEAKS RESULTING IN ENGINE FIRE,Mandatório,Modificação,Motor,PW124B - PCE-124654,NOT APPLICABLE,Alexandre Edson,,,,,,NÃO APLICÁVEL- POIS O MOTOR 124654 NÃO POSSUI O SB 21607 INCORPORADO.
AD/CF/DA/CN,97-10-06,00,03/11/1997,P&WC SB 21077 R7; 27373 R3,ANAC (Brasil),72 - Engine,PRESILHAS FIXAÇÃO E LINHAS COMBUST MOTOR,Mandatório,Modificação,Motor,PW124B - PCE-124654,ALREADY EMBODIED,Alexandre Edson,,,,,,ALREADY EMBODIED ATRAVÉS DA CF-96-22 QUE TRATA O MESMO ASSUNTO E USA O OS MESMOS SBs DE INCORPORAÇÃO- CONFORME REGISTRO DE AIRWORTHINESS DIRECTIVES REALIZADO PELA LUFTHANSA TECHNIK- EM OVERHAUL DE  27/11/2012.
AD/CF/DA/CN,97-10-06,00,03/11/1997,P&WC SB 21077 R7; 21373 R3,ANAC (Brasil),72 - Engine,PRESILHAS FIXAÇÃO E LINHAS COMBUST MOTOR,Mandatório,Modificação,Motor,PW124B - PCE-AH0011,ALREADY EMBODIED,Alexandre Edson,,,,,,ALREADY EMBODIED ATRAVÉS DA CF-96-22 QUE TRATA O MESMO ASSUNTO E USA O OS MESMOS SBs DE INCORPORAÇÃO- CONFORME REGISTRO DE AIRWORTHINESS DIRECTIVES REALIZADO PELA LUFTHANSA TECHNIK- EM OVERHAUL DE  23/04/2008.
AD/CF/DA/CN,97-10-06,00,03/11/1997,P&WC SB 21077 R7; 21373 R3,ANAC (Brasil),72 - Engine,PRESILHAS FIXAÇÃO E LINHAS COMBUST MOTOR,Mandatório,Modificação,Motor,PW124B - PCE-AH0012,ALREADY EMBODIED,Alexandre Edson,,,,,,ALREADY EMBODIED ATRAVÉS DA CF-96-22 QUE TRATA O MESMO ASSUNTO E USA O OS MESMOS SBs DE INCORPORAÇÃO- CONFORME REGISTRO DE AIRWORTHINESS DIRECTIVES REALIZADO PELA LUFTHANSA TECHNIK- EM OVERHAUL DE 12/12/2012.
AD/CF/DA/CN,88-05-08,00,24/05/1988,SIL PW-031 R2,ANAC (Brasil),72 - Engine,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW124B - PCE-124654,ALREADY EMBODIED,Alexandre Edson,,,,,,TORQUE REQUERIDO PELA DA FOI INCORPORADO NO MANUAL DE MANUTENÇÃO DO MOTOR PW124B P/N 3037332 R49.1 .; SEÇÃO 72.01.40; FUEL SYSTEM - SERVICING; 6. FUEL PUMP OUTLET FILTER.
AD/CF/DA/CN,88-05-08,00,24/05/1988,SIL PW-031 R2,ANAC (Brasil),72 - Engine,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW124B - PCE-AH0011,ALREADY EMBODIED,Alexandre Edson,,,,,,TORQUE REQUERIDO PELA DA FOI INCORPORADO NO MANUAL DE MANUTENÇÃO DO MOTOR PW124B P/N 3037332 R49.1 .; SEÇÃO 72.01.40; FUEL SYSTEM - SERVICING; 6. FUEL PUMP OUTLET FILTER.
AD/CF/DA/CN,88-05-08,00,24/05/1988,SIL PW-031 R2,ANAC (Brasil),72 - Engine,TAMPA DA BOMBA COMBUSTÍVEL ALTA PRESSÃO,Mandatório,Inspeção única,Motor,PW124B - PCE-AH0012,ALREADY EMBODIED,Alexandre Edson,,,,,,TORQUE REQUERIDO PELA D.A. PARA INSTALAÇÃO DO FILTRO FOI INCORPORADO NO MANUAL DE MANUTENÇÃO DO MOTOR PW124B P/N 3037332 R49.1 .; SEÇÃO 72.01.40; FUEL SYSTEM - SERVICING; 6. FUEL PUMP OUTLET FILTER.
